2,Schach spielen,Das klassische Brettspiel für 2 Spieler.,images/2020/08/10/schach.jpg,competitive,3
1,Azul spielen,Ein Brettspiel für 2-4 Spieler. Spiel des Jahres 2018.,images/2020/08/10/azul.jpg,competitive,3
5,Gitarre spielen,Musizieren mit einer Gitarre.,images/2020/08/10/Screenshot_from_2020-08-06_11-26-17.png,creative,4
6,Schlagzeug spielen,Bumm.,images/2020/08/10/schlagzeug.jpg,creative,4
7,Singen,Das wohl älteste Instrument: Die Stimmbänder.,images/2020/08/10/singen.jpg,creative,4
8,Bass spielen,Verleiht einem Song die nötige Textur.,images/2020/08/10/bass.jpg,creative,4
10,Netflixen,Etwas auf Netflix schauen.,images/2020/08/10/netflix_L8yT4pI.jpg,consumption,8
9,Spazieren gehen,Die frische Luft genießen.,images/2020/08/10/spazieren_ExEz49H.jpg,consumption,8
4,Doppelkopf spielen,Geht fast so sehr ab wie Skat.,images/2020/08/11/doppelkopf.jpg,competitive,2
3,Skat spielen,Skat geht ab.,images/2020/08/11/skat.jpg,competitive,2
11,Laufen,Regelmäßiges Laufen erhöht die durchschnittliche Lebenserwartung um etwa 3 Jahre.,images/2020/08/19/laufen_HB0QLWv.jpg,competitive,1
12,Schwimmen,Schwimmen ist nass.,images/2020/08/19/schwimmen.jpg,competitive,1
